industry,industry_code
半导体,BK1036
贵金属,BK0732
非金属材料,BK1020
电子化学品,BK1039
贸易行业,BK0484
电子元件,BK0459
电机,BK1030
光学光电子,BK1038
玻璃玻纤,BK0546
电池,BK1033
通信设备,BK0448
汽车零部件,BK0481
仪器仪表,BK0458
消费电子,BK1037
交运设备,BK0429
汽车服务,BK1016
工程机械,BK0739
房地产服务,BK1045
电源设备,BK1034
计算机设备,BK0735
塑料制品,BK0454
专用设备,BK0910
汽车整车,BK1029
通信服务,BK0736
化学制品,BK0538
珠宝首饰,BK0734
通用设备,BK0545
互联网服务,BK0447
软件开发,BK0737
包装材料,BK0733
教育,BK0740
能源金属,BK1015
风电设备,BK1032
航运港口,BK0450
化学制药,BK0465
光伏设备,BK1031
化纤行业,BK0471
电网设备,BK0457
医疗服务,BK0727
家电行业,BK0456
有色金属,BK0478
化学原料,BK1019
装修建材,BK0476
橡胶制品,BK1018
航天航空,BK0480
工程建设,BK0425
医疗器械,BK1041
纺织服装,BK0436
生物制品,BK1044
造纸印刷,BK0470
环保行业,BK0728
采掘行业,BK1017
装修装饰,BK0725
游戏,BK1046
航空机场,BK0420
中药,BK1040
铁路公路,BK0421
家用轻工,BK0440
美容护理,BK1035
综合行业,BK0539
工程咨询服务,BK0726
专业服务,BK1043
石油行业,BK0464
水泥建材,BK0424
证券,BK0473
小金属,BK1027
化肥行业,BK0731
钢铁行业,BK0479
商业百货,BK0482
银行,BK0475
文化传媒,BK0486
公用事业,BK0427
煤炭行业,BK0437
医药商业,BK1042
旅游酒店,BK0485
船舶制造,BK0729
房地产开发,BK0451
燃气,BK1028
物流行业,BK0422
农药兽药,BK0730
保险,BK0474
多元金融,BK0738
电力行业,BK0428
酿酒行业,BK0477
食品饮料,BK0438
农牧饲渔,BK0433
