code,name,exchange,industry,industry_standard,industry_code,raw_universe_size
000001,平安银行,深圳,股份制银行Ⅱ,申万二级行业,801783,5220
000002,万  科Ａ,深圳,房地产开发,申万二级行业,801181,5220
000006,深振业Ａ,深圳,房地产开发,申万二级行业,801181,5220
000007,全新好,深圳,一般零售,申万二级行业,801203,5220
000008,神州高铁,深圳,轨交设备Ⅱ,申万二级行业,801076,5220
000009,中国宝安,深圳,电池,申万二级行业,801737,5220
000011,深物业A,深圳,房地产开发,申万二级行业,801181,5220
000012,南  玻Ａ,深圳,玻璃玻纤,申万二级行业,801712,5220
000014,沙河股份,深圳,房地产开发,申万二级行业,801181,5220
000017,深中华A,深圳,饰品,申万二级行业,801133,5220
000019,深粮控股,深圳,农产品加工,申万二级行业,801012,5220
000020,深华发Ａ,深圳,光学光电子,申万二级行业,801084,5220
000021,深科技,深圳,消费电子,申万二级行业,801085,5220
000025,特  力Ａ,深圳,综合Ⅱ,申万二级行业,801231,5220
000026,飞亚达,深圳,饰品,申万二级行业,801133,5220
000027,深圳能源,深圳,电力,申万二级行业,801161,5220
000028,国药一致,深圳,医药商业,申万二级行业,801154,5220
000029,深深房Ａ,深圳,房地产开发,申万二级行业,801181,5220
000030,富奥股份,深圳,汽车零部件,申万二级行业,801093,5220
000031,大悦城,深圳,房地产开发,申万二级行业,801181,5220
000032,深桑达Ａ,深圳,专业工程,申万二级行业,801724,5220
000034,神州数码,深圳,IT服务Ⅱ,申万二级行业,801103,5220
000035,中国天楹,深圳,环境治理,申万二级行业,801971,5220
000036,华联控股,深圳,房地产开发,申万二级行业,801181,5220
000037,深南电A,深圳,电力,申万二级行业,801161,5220
000039,中集集团,深圳,通用设备,申万二级行业,801072,5220
000042,中洲控股,深圳,房地产开发,申万二级行业,801181,5220
000045,深纺织Ａ,深圳,光学光电子,申万二级行业,801084,5220
000048,京基智农,深圳,养殖业,申万二级行业,801017,5220
000049,德赛电池,深圳,电池,申万二级行业,801737,5220
000050,深天马Ａ,深圳,光学光电子,申万二级行业,801084,5220
000055,方大集团,深圳,装修建材,申万二级行业,801713,5220
000058,深 赛 格,深圳,一般零售,申万二级行业,801203,5220
000059,华锦股份,深圳,炼化及贸易,申万二级行业,801963,5220
000060,中金岭南,深圳,工业金属,申万二级行业,801055,5220
000061,农 产 品,深圳,一般零售,申万二级行业,801203,5220
000062,深圳华强,深圳,其他电子Ⅱ,申万二级行业,801082,5220
000063,中兴通讯,深圳,通信设备,申万二级行业,801102,5220
000065,北方国际,深圳,专业工程,申万二级行业,801724,5220
000066,中国长城,深圳,计算机设备,申万二级行业,801101,5220
000068,华控赛格,深圳,环境治理,申万二级行业,801971,5220
000069,华侨城Ａ,深圳,房地产开发,申万二级行业,801181,5220
000070,特发信息,深圳,通信设备,申万二级行业,801102,5220
000088,盐 田 港,深圳,航运港口,申万二级行业,801992,5220
000089,深圳机场,深圳,航空机场,申万二级行业,801991,5220
000090,天健集团,深圳,房地产开发,申万二级行业,801181,5220
000096,广聚能源,深圳,炼化及贸易,申万二级行业,801963,5220
000099,中信海直,深圳,航空机场,申万二级行业,801991,5220
000100,TCL科技,深圳,光学光电子,申万二级行业,801084,5220
000151,中成股份,深圳,贸易Ⅱ,申万二级行业,801202,5220
000153,丰原药业,深圳,化学制药,申万二级行业,801151,5220
000155,川能动力,深圳,电力,申万二级行业,801161,5220
000156,华数传媒,深圳,电视广播Ⅱ,申万二级行业,801995,5220
000157,中联重科,深圳,工程机械,申万二级行业,801077,5220
000158,常山北明,深圳,IT服务Ⅱ,申万二级行业,801103,5220
000159,国际实业,深圳,光伏设备,申万二级行业,801735,5220
000166,申万宏源,深圳,证券Ⅱ,申万二级行业,801193,5220
000301,东方盛虹,深圳,炼化及贸易,申万二级行业,801963,5220
000333,美的集团,深圳,白色家电,申万二级行业,801111,5220
000338,潍柴动力,深圳,汽车零部件,申万二级行业,801093,5220
000400,许继电气,深圳,电网设备,申万二级行业,801738,5220
000401,金隅冀东,深圳,水泥,申万二级行业,801711,5220
000402,金 融 街,深圳,房地产开发,申万二级行业,801181,5220
000403,派林生物,深圳,生物制品,申万二级行业,801152,5220
000404,长虹华意,深圳,家电零部件Ⅱ,申万二级行业,801116,5220
000407,胜利股份,深圳,燃气Ⅱ,申万二级行业,801163,5220
000408,藏格矿业,深圳,农化制品,申万二级行业,801038,5220
000409,云鼎科技,深圳,IT服务Ⅱ,申万二级行业,801103,5220
000410,沈阳机床,深圳,通用设备,申万二级行业,801072,5220
000411,英特集团,深圳,医药商业,申万二级行业,801154,5220
000415,渤海租赁,深圳,多元金融,申万二级行业,801191,5220
000417,合百集团,深圳,一般零售,申万二级行业,801203,5220
000419,通程控股,深圳,一般零售,申万二级行业,801203,5220
000420,吉林化纤,深圳,化学纤维,申万二级行业,801032,5220
000421,南京公用,深圳,综合Ⅱ,申万二级行业,801231,5220
000422,湖北宜化,深圳,农化制品,申万二级行业,801038,5220
000423,东阿阿胶,深圳,中药Ⅱ,申万二级行业,801155,5220
000425,徐工机械,深圳,工程机械,申万二级行业,801077,5220
000426,兴业银锡,深圳,工业金属,申万二级行业,801055,5220
000428,华天酒店,深圳,酒店餐饮,申万二级行业,801219,5220
000429,粤高速Ａ,深圳,铁路公路,申万二级行业,801179,5220
000430,张家界,深圳,旅游及景区,申万二级行业,801993,5220
000498,山东路桥,深圳,基础建设,申万二级行业,801723,5220
000501,武商集团,深圳,一般零售,申万二级行业,801203,5220
000503,国新健康,深圳,软件开发,申万二级行业,801104,5220
000504,南华生物,深圳,医疗服务,申万二级行业,801156,5220
000505,京粮控股,深圳,农产品加工,申万二级行业,801012,5220
000506,招金黄金,深圳,贵金属,申万二级行业,801053,5220
000507,珠海港,深圳,电力,申万二级行业,801161,5220
000509,华塑控股,深圳,光学光电子,申万二级行业,801084,5220
000510,新金路,深圳,化学原料,申万二级行业,801033,5220
000513,丽珠集团,深圳,化学制药,申万二级行业,801151,5220
000514,渝 开 发,深圳,房地产开发,申万二级行业,801181,5220
000516,国际医学,深圳,医疗服务,申万二级行业,801156,5220
000517,荣安地产,深圳,房地产开发,申万二级行业,801181,5220
000518,四环生物,深圳,生物制品,申万二级行业,801152,5220
000519,中兵红箭,深圳,地面兵装Ⅱ,申万二级行业,801743,5220
000520,凤凰航运,深圳,航运港口,申万二级行业,801992,5220
000521,长虹美菱,深圳,白色家电,申万二级行业,801111,5220
000523,红棉股份,深圳,综合Ⅱ,申万二级行业,801231,5220
000524,岭南控股,深圳,旅游及景区,申万二级行业,801993,5220
000525,红太阳,深圳,农化制品,申万二级行业,801038,5220
000526,学大教育,深圳,教育,申万二级行业,801994,5220
000528,柳    工,深圳,工程机械,申万二级行业,801077,5220
000529,广弘控股,深圳,食品加工,申万二级行业,801124,5220
000530,冰山冷热,深圳,通用设备,申万二级行业,801072,5220
000531,穗恒运Ａ,深圳,电力,申万二级行业,801161,5220
000532,华金资本,深圳,多元金融,申万二级行业,801191,5220
000533,顺钠股份,深圳,电网设备,申万二级行业,801738,5220
000534,万泽股份,深圳,生物制品,申万二级行业,801152,5220
000536,华映科技,深圳,光学光电子,申万二级行业,801084,5220
000537,绿发电力,深圳,电力,申万二级行业,801161,5220
000538,云南白药,深圳,中药Ⅱ,申万二级行业,801155,5220
000539,粤电力Ａ,深圳,电力,申万二级行业,801161,5220
000541,佛山照明,深圳,照明设备Ⅱ,申万二级行业,801115,5220
000543,皖能电力,深圳,电力,申万二级行业,801161,5220
000544,中原环保,深圳,环境治理,申万二级行业,801971,5220
000545,金浦钛业,深圳,化学原料,申万二级行业,801033,5220
000546,金圆股份,深圳,环境治理,申万二级行业,801971,5220
000547,航天发展,深圳,军工电子Ⅱ,申万二级行业,801745,5220
000548,湖南投资,深圳,铁路公路,申万二级行业,801179,5220
000550,江铃汽车,深圳,商用车,申万二级行业,801096,5220
000551,创元科技,深圳,环保设备Ⅱ,申万二级行业,801972,5220
000552,甘肃能化,深圳,煤炭开采,申万二级行业,801951,5220
000553,安道麦A,深圳,农化制品,申万二级行业,801038,5220
000554,泰山石油,深圳,炼化及贸易,申万二级行业,801963,5220
000555,神州信息,深圳,IT服务Ⅱ,申万二级行业,801103,5220
000557,西部创业,深圳,铁路公路,申万二级行业,801179,5220
000558,天府文旅,深圳,旅游及景区,申万二级行业,801993,5220
000559,万向钱潮,深圳,汽车零部件,申万二级行业,801093,5220
