industry,week_end,estimated_net_flow,total_amount,positive_days,trading_days,constituents,positive_day_ratio,flow_to_amount,rank,week_complete
化学制药,2026-07-03,61968553927.01011,197207972793.0,2,3,143,0.6666666666666666,0.31422945558116766,1.0,True
医疗服务,2026-07-03,16248017511.060152,99767633469.0,2,3,50,0.6666666666666666,0.16285860399914937,2.0,True
汽车零部件,2026-07-03,13565250968.776272,223843077255.0,1,3,237,0.3333333333333333,0.060601610445709074,3.0,True
生物制品,2026-07-03,12454792074.590385,50675448923.0,2,3,49,0.6666666666666666,0.24577566334962542,4.0,True
中药Ⅱ,2026-07-03,10956595511.304493,33561709497.0,2,3,60,0.6666666666666666,0.3264611867367446,5.0,True
工程机械,2026-07-03,10925510966.98101,36968827444.0,3,3,28,1.0,0.29553306724512324,6.0,True
家电零部件Ⅱ,2026-07-03,10087783615.220432,51116236571.0,1,3,29,0.3333333333333333,0.19734988903591505,7.0,True
贵金属,2026-07-03,8527268936.3595295,45243038414.0,2,3,11,0.6666666666666666,0.18847692894385387,8.0,True
股份制银行Ⅱ,2026-07-03,8253120145.724072,27064231545.0,3,3,9,1.0,0.30494566719921523,9.0,True
炼化及贸易,2026-07-03,7267399629.767218,32885778842.0,3,3,29,1.0,0.22098912921246294,10.0,True
证券Ⅱ,2026-07-03,7242523599.572427,211897966220.0,2,3,50,0.6666666666666666,0.03417929737019269,11.0,True
工程咨询服务Ⅱ,2026-07-03,6459817252.507455,47585571745.0,2,3,39,0.6666666666666666,0.13575159477171173,12.0,True
电机Ⅱ,2026-07-03,6243535474.837372,32927025683.0,2,3,26,0.6666666666666666,0.18961735368830676,13.0,True
乘用车,2026-07-03,5461774348.754684,32175183914.0,2,3,8,0.6666666666666666,0.16975114620489143,14.0,True
城商行Ⅱ,2026-07-03,5217031405.568071,20212216047.0,2,3,17,0.6666666666666666,0.25811278651666747,15.0,True
医药商业,2026-07-03,3934075723.6310005,11100485953.0,2,3,31,0.6666666666666666,0.35440572064034576,16.0,True
养殖业,2026-07-03,3732858251.004689,27399652869.0,2,3,21,0.6666666666666666,0.13623742858538362,17.0,True
航海装备Ⅱ,2026-07-03,3626165806.2331033,27443971499.0,2,3,10,0.6666666666666666,0.13212977598250433,18.0,True
服装家纺,2026-07-03,2806420940.0376143,20868697132.0,3,3,53,1.0,0.13447993050482565,19.0,True
航天装备Ⅱ,2026-07-03,2669958634.972824,42990566839.0,2,3,9,0.6666666666666666,0.06210568576524798,20.0,True
煤炭开采,2026-07-03,2597857522.017786,31262231680.0,2,3,26,0.6666666666666666,0.08309891464593566,21.0,True
铁路公路,2026-07-03,2590661282.190693,9720787790.0,3,3,33,1.0,0.26650733851589337,22.0,True
综合Ⅱ,2026-07-03,2432324122.0990586,22612187542.0,1,3,19,0.3333333333333333,0.10756695333351744,23.0,True
物流,2026-07-03,2322228013.3030515,25855182895.0,1,3,43,0.3333333333333333,0.0898167312423899,24.0,True
医疗器械,2026-07-03,1965610951.7037303,75174301086.0,2,3,124,0.6666666666666666,0.026147379134992633,25.0,True
保险Ⅱ,2026-07-03,1956285066.2557466,40492373097.0,1,3,5,0.3333333333333333,0.04831243309868356,26.0,True
家居用品,2026-07-03,1889850566.1153214,23096517895.0,2,3,68,0.6666666666666666,0.0818240470146559,27.0,True
小家电,2026-07-03,1625185612.2494216,7213695247.0,2,3,20,0.6666666666666666,0.22529169262110105,28.0,True
风电设备,2026-07-03,1276871137.9515114,48278293720.0,2,3,30,0.6666666666666666,0.026448141381238348,29.0,True
动物保健Ⅱ,2026-07-03,1235987658.7293463,2591442955.0,2,3,9,0.6666666666666666,0.4769495914793719,30.0,True
休闲食品,2026-07-03,1058838676.7269992,4736334033.0,3,3,20,1.0,0.2235565881438327,31.0,True
造纸,2026-07-03,941467436.1536587,9404732534.0,1,3,22,0.3333333333333333,0.10010571090140677,32.0,True
饲料,2026-07-03,894207325.307348,10608833172.0,1,3,18,0.3333333333333333,0.08428894213054819,33.0,True
纺织制造,2026-07-03,851760230.9526638,15764070401.0,2,3,32,0.6666666666666666,0.0540317449291924,34.0,True
旅游及景区,2026-07-03,826502287.4765341,5899178448.0,2,3,23,0.6666666666666666,0.1401046424958959,35.0,True
非白酒,2026-07-03,784833689.3322544,5544898075.0,1,3,12,0.3333333333333333,0.1415415898933822,36.0,True
一般零售,2026-07-03,784524836.3856882,27988324522.0,1,3,59,0.3333333333333333,0.028030432324343626,37.0,True
摩托车及其他,2026-07-03,781584110.5202287,6704201104.0,2,3,14,0.6666666666666666,0.11658124486359811,38.0,True
种植业,2026-07-03,778473250.8159504,8914348019.0,2,3,19,0.6666666666666666,0.08732811969610298,39.0,True
农商行Ⅱ,2026-07-03,765117216.7538539,4138742426.0,3,3,10,1.0,0.18486707748404682,40.0,True
环境治理,2026-07-03,708661607.0631785,43538895831.0,2,3,100,0.6666666666666666,0.016276517663973613,41.0,True
影视院线,2026-07-03,652247112.5585976,16399580510.0,2,3,18,0.6666666666666666,0.03977218271899551,42.0,True
多元金融,2026-07-03,641587839.3091623,15602400182.0,2,3,23,0.6666666666666666,0.04112109879410362,43.0,True
个护用品,2026-07-03,603495948.710677,2494193842.0,2,3,12,0.6666666666666666,0.2419603234313001,44.0,True
酒店餐饮,2026-07-03,591271121.8619772,2511167408.0,2,3,8,0.6666666666666666,0.23545667245374555,45.0,True
商用车,2026-07-03,408738590.0179241,13804209133.0,1,3,13,0.3333333333333333,0.02960970716104291,46.0,True
化妆品,2026-07-03,385508642.8540844,6976467741.0,2,3,13,0.6666666666666666,0.05525842835744639,47.0,True
水泥,2026-07-03,357216925.73746157,9155872960.0,2,3,20,0.6666666666666666,0.03901505921915517,48.0,True
普钢,2026-07-03,295241406.41681445,12210195708.0,1,3,21,0.3333333333333333,0.024179907798150622,49.0,True
饰品,2026-07-03,241986264.049924,5684647850.0,2,3,12,0.6666666666666666,0.04256838249882514,50.0,True
油服工程,2026-07-03,222410705.1765553,6339638713.0,2,3,12,0.6666666666666666,0.03508255205781398,51.0,True
渔业,2026-07-03,155120069.31576538,1086972116.0,2,3,6,0.6666666666666666,0.1427084163728128,52.0,True
教育,2026-07-03,73861302.08530167,6260868599.0,2,3,13,0.6666666666666666,0.011797293125924885,53.0,True
农产品加工,2026-07-03,-84758472.3071832,9441723470.0,1,3,22,0.3333333333333333,-0.008977012785482819,54.0,True
专业连锁Ⅱ,2026-07-03,-92919182.60529572,2642141230.0,1,3,7,0.3333333333333333,-0.03516813618827473,55.0,True
房屋建设Ⅱ,2026-07-03,-120803370.55901808,5837957230.0,2,3,7,0.6666666666666666,-0.02069274676049966,56.0,True
焦炭Ⅱ,2026-07-03,-157999921.42611635,2268717907.0,1,3,7,0.3333333333333333,-0.06964282378986678,57.0,True
文娱用品,2026-07-03,-217968468.6666453,4797478539.0,1,3,20,0.3333333333333333,-0.045433964299104346,58.0,True
房地产服务,2026-07-03,-233281658.42472768,2583493650.0,2,3,10,0.6666666666666666,-0.09029697379930765,59.0,True
食品加工,2026-07-03,-280940581.92302597,8461938340.0,1,3,21,0.3333333333333333,-0.03320049977143014,60.0,True
